name,id,tournament_id,date,prizepool,Knockout_stage,Knockout_stage_importance,player_1_id,player_1_name,elo_player_1,score_1,player_2_id,player_2_name,elo_player_2,score_2
GB Hidden Cup 2,12952,655,2023-11-30,254.0,Semi-Finals,3,753,darvoi,1940,4,1093,Ted,2015,1
Road to Hidden Cup Italia - Autunno,12959,657,2023-12-14,154.0,Semi-Finals,3,446,Kamigawa,1989,1,129,Vodka_L,2122,3
Road to Hidden Cup Italia - Autunno,12960,657,2023-12-14,154.0,Semi-Finals,3,1183,salsicciotto1999,2004,3,454,RaiD,1952,0
Hidden Cup 5,13352,674,2024-03-02,70624.0,Semi-Finals,3,28,Hera,2527,4,14,ACCM,2375,2
Hidden Cup 5,13353,674,2024-03-02,70624.0,Semi-Finals,3,29,TheViper,2463,1,25,Liereyy,2382,4
Hidden zZ,13380,677,2024-02-27,200.0,Semi-Finals,3,913,Lucky Rox,2195,3,1590,ElMago,1898,1
Hidden zZ,13381,677,2024-02-25,200.0,Semi-Finals,3,1332,Lucho,2026,1,153,Fedex,2069,3
Hidden Cup Türkiye,13512,689,2024-03-29,2316.0,Semi-Finals,3,195,Kasva,2089,4,723,ronotovi,1962,0
Hidden Cup Türkiye,13513,689,2024-03-29,2316.0,Semi-Finals,3,886,Dr.Kozmonot,2040,4,983,SonyToprano,1990,0
Hidden Cup,232,7,,1440.0,Finale,4,29,TheViper,2299,4,24,MbL,2174,2
Hidden Cup 2,1326,88,2019-04-14,10200.0,Finale,4,52,TheMax,2061,3,29,TheViper,2349,4
Hidden Cup 3,2902,163,2020-03-22,50228.0,Finale,4,28,Hera,2224,0,29,TheViper,2282,4
Hidden Cup 4,4770,253,2021-03-21,87240.0,Finale,4,30,JorDan_23,2174,1,28,Hera,2277,4
Hidden Cup Italia,5240,284,2021-05-19,947.0,Finale,4,129,Vodka_L,2097,4,619,Rise,1971,0
GB Hidden Cup 2,12953,655,2023-12-03,254.0,Finale,4,613,_hallis,2030,4,753,darvoi,1957,1
Road to Hidden Cup Italia - Autunno,13034,657,2023-12-19,154.0,Finale,4,129,Vodka_L,2126,1,1183,salsicciotto1999,2013,4
Hidden Cup 5,13355,674,2024-03-03,70624.0,Finale,4,28,Hera,2523,4,25,Liereyy,2399,0
Hidden zZ,13382,677,2024-03-04,200.0,Finale,4,913,Lucky Rox,2203,3,153,Fedex,2077,2
Hidden Cup Türkiye,13514,689,2024-03-30,2316.0,Finale,4,195,Kasva,2101,5,886,Dr.Kozmonot,2052,3
Hidden Cup Italia,5239,284,2021-05-16,947.0,Bronze-Match,3,503,pete_martell,1990,2,446,Kamigawa,1989,3
Hidden Cup 5,13354,674,2024-03-03,70624.0,Bronze-Match,3,14,ACCM,2379,1,29,TheViper,2446,3
Hidden zZ,13383,677,2024-03-04,200.0,Bronze-Match,3,1590,ElMago,1902,0,1332,Lucho,2018,2
Hidden Cup Türkiye,13550,689,2024-03-30,2316.0,Bronze-Match,3,723,ronotovi,1950,1,983,SonyToprano,1978,3
