name,id,tournament_id,date,prizepool,Knockout_stage,Knockout_stage_importance,player_1_id,player_1_name,elo_player_1,score_1,player_2_id,player_2_name,elo_player_2,score_2
Brain Champion Cup 3: first stage,11778,603,2010-03-02,11400.0,Quarter-Finals,2,950,Drago_,1911,1,167,DreaIVIs,2047,3
T90 Titans League 3: Platinum League,12103,604,2023-10-16,17300.0,Quarter-Finals,2,19,Yo,2398,3,79,_Barles_,2286,0
T90 Titans League 3: Platinum League,12104,604,2023-10-16,17300.0,Quarter-Finals,2,29,TheViper,2439,3,635,FreakinAndy,2291,0
T90 Titans League 3: Platinum League,12105,604,2023-10-17,17300.0,Quarter-Finals,2,14,ACCM,2324,2,31,TaToH,2391,3
T90 Titans League 3: Platinum League,12106,604,2023-10-17,17300.0,Quarter-Finals,2,28,Hera,2441,3,25,Liereyy,2434,0
Warlords Waiting Room,12252,624,2023-10-26,6000.0,Quarter-Finals,2,1,DauT,2396,2,31,TaToH,2394,3
Warlords Waiting Room,12253,624,2023-10-26,6000.0,Quarter-Finals,2,28,Hera,2467,2,19,Yo,2381,3
Warlords Waiting Room,12254,624,2023-10-26,6000.0,Quarter-Finals,2,29,TheViper,2461,3,25,Liereyy,2416,0
Warlords Waiting Room,12277,624,2023-10-26,6000.0,Quarter-Finals,2,26,Hearttt,2249,2,24,MbL,2271,3
Warlords II,12530,631,2023-11-16,50000.0,Quarter-Finals,2,19,Yo,2416,4,30,JorDan_23,2348,3
Warlords II,12531,631,2023-11-16,50000.0,Quarter-Finals,2,25,Liereyy,2408,1,28,Hera,2457,4
Warlords II,12535,631,2023-11-17,50000.0,Quarter-Finals,2,31,TaToH,2445,4,12,Sitaux,2312,3
Warlords II,12536,631,2023-11-17,50000.0,Quarter-Finals,2,29,TheViper,2468,4,51,Villese,2318,1
Nili's Apartment Cup V,13117,665,2024-01-12,72872.0,Quarter-Finals,2,30,JorDan_23,2403,2,19,Yo,2392,4
Nili's Apartment Cup V,13118,665,2024-01-12,72872.0,Quarter-Finals,2,29,TheViper,2472,4,1,DauT,2384,3
Nili's Apartment Cup 1,173,6,,2500.0,Semi-Finals,3,25,Liereyy,2170,5,24,MbL,2151,0
King of the Desert 1,276,4,,4050.0,Semi-Finals,3,25,Liereyy,2107,4,26,Hearttt,2035,1
King of the Desert 1,277,4,,4050.0,Semi-Finals,3,29,TheViper,2328,4,52,TheMax,2018,0
King of the Desert 2,535,2,2019-02-01,15800.0,Semi-Finals,3,29,TheViper,2313,4,19,Yo,2136,2
King of the Desert 2,599,2,2019-02-02,15800.0,Semi-Finals,3,25,Liereyy,2185,4,35,vivi,2088,1
Nili's Apartment Cup 2,835,58,2019-02-16,14000.0,Semi-Finals,3,24,MbL,2200,3,31,TaToH,2164,5
Nili's Apartment Cup 2,850,58,2019-02-16,14000.0,Semi-Finals,3,25,Liereyy,2213,0,29,TheViper,2329,5
Master of the Huns,1273,87,2010-03-14,4100.0,Semi-Finals,3,1,DauT,2209,4,154,goodboy,2042,1
Master of the Huns,1274,87,2010-03-14,4100.0,Semi-Finals,3,3,RiuT,2111,4,178,BlinG,2055,3
Mangrove Shallows Cup,1393,93,2019-07-28,10800.0,Semi-Finals,3,31,TaToH,2214,4,28,Hera,2056,1
Mangrove Shallows Cup,1394,93,2019-07-28,10800.0,Semi-Finals,3,19,Yo,2151,4,1,DauT,2132,0
The Medieval Wars,1496,101,2013-08-31,10000.0,Semi-Finals,3,18,St4rk,1999,1,220,NO_23,1902,0
The Medieval Wars,1497,101,2013-08-31,10000.0,Semi-Finals,3,30,JorDan_23,2109,1,112,only,2003,0
The Medieval Wars,1499,101,2013-08-31,10000.0,Semi-Finals,3,33,Tim,2124,1,1,DauT,2176,0
The Medieval Wars,1500,101,2013-08-31,10000.0,Semi-Finals,3,29,TheViper,2141,1,90,IamOK,1992,0
BsK - MVP3,1788,113,2006-01-30,429.0,Semi-Finals,3,60,Chris,2150,3,268,Canary,2000,1
BsK - MVP3,1789,113,2006-01-30,429.0,Semi-Finals,3,1,DauT,2130,3,251,seker,2033,1
Back to Almaty,1805,114,,5000.0,Semi-Finals,3,60,Chris,2156,3,205,Grunt,2071,0
Back to Almaty,1806,114,,5000.0,Semi-Finals,3,1,DauT,2142,2,279,RuKie,2039,3
Simply the Best,1968,124,,700.0,Semi-Finals,3,261,BT4,2003,3,279,RuKie,2019,2
Simply the Best,1969,124,,700.0,Semi-Finals,3,254,IORI,2018,3,257,Igloo,2018,2
BsK - MVP,1988,127,,1000.0,Semi-Finals,3,1,DauT,2071,3,273,Capoch,2083,2
BsK - MVP,1989,127,,1000.0,Semi-Finals,3,205,Grunt,2069,3,290,Free,2026,0
MFO - The Conquering Hero,2002,128,2003-12-21,2000.0,Semi-Finals,3,1,DauT,2066,1,273,Capoch,2053,2
MFO - The Conquering Hero,2003,128,2003-12-21,2000.0,Semi-Finals,3,279,RuKie,2008,1,312,Extacy,2009,2
Arbalet Cup III,2036,130,,7000.0,Semi-Finals,3,273,Capoch,2049,1,297,Bender,2030,2
Arbalet Cup III,2037,130,,7000.0,Semi-Finals,3,327,windy,2000,1,60,Chris,2099,2
Lord of Maps,2072,135,,1600.0,Semi-Finals,3,273,Capoch,2046,1,60,Chris,2097,0
Lord of Maps,2073,135,,1600.0,Semi-Finals,3,1,DauT,2019,1,361,Ugnis,2015,0
