name,id,tournament_id,prizemoney,Knockout_stage,Knockout_stage_importance,player_1_id,player_1_name,elo_player_1,score_1,player_2_id,player_2_name,elo_player_2,score_2,hidden,s-tier
Paladin Cup 1v1,380,32,1000.0,Group Stage,1,52,TheMax,2173,1,14,ACCM,2332,0,False,False
Paladin Cup 1v1,381,32,1000.0,Group Stage,1,52,TheMax,2173,1,54,yinghua,2023,0,False,False
Paladin Cup 1v1,382,32,1000.0,Group Stage,1,20,Paladin,1977,1,51,Villese,2349,0,False,False
Paladin Cup 1v1,383,32,1000.0,Group Stage,1,20,Paladin,1977,0,14,ACCM,2332,1,False,False
Paladin Cup 1v1,384,32,1000.0,Group Stage,1,20,Paladin,1977,1,52,TheMax,2173,0,False,False
Paladin Cup 1v1,385,32,1000.0,Group Stage,1,20,Paladin,1977,0,54,yinghua,2023,1,False,False
Paladin Cup 1v1,386,32,1000.0,Group Stage,1,20,Paladin,1977,0,27,Nicov,2288,1,False,False
Paladin Cup 1v1,387,32,1000.0,Group Stage,1,20,Paladin,1977,0,21,Lyx,2126,1,False,False
Paladin Cup 1v1,388,32,1000.0,Group Stage,1,20,Paladin,1977,1,19,Yo,2354,0,False,False
Paladin Cup 1v1,389,32,1000.0,Group Stage,1,21,Lyx,2126,0,14,ACCM,2332,1,False,False
Paladin Cup 1v1,390,32,1000.0,Group Stage,1,21,Lyx,2126,1,52,TheMax,2173,0,False,False
Paladin Cup 1v1,391,32,1000.0,Group Stage,1,21,Lyx,2126,1,27,Nicov,2288,0,False,False
Paladin Cup 1v1,392,32,1000.0,Group Stage,1,21,Lyx,2126,0,51,Villese,2349,1,False,False
Paladin Cup 1v1,393,32,1000.0,Group Stage,1,21,Lyx,2126,1,20,Paladin,1977,0,False,False
Paladin Cup 1v1,394,32,1000.0,Group Stage,1,21,Lyx,2126,0,19,Yo,2354,1,False,False
Paladin Cup 1v1,395,32,1000.0,Group Stage,1,21,Lyx,2126,1,54,yinghua,2023,0,False,False
Paladin Cup 1v1,396,32,1000.0,Group Stage,1,54,yinghua,2023,0,51,Villese,2349,1,False,False
Paladin Cup 1v1,397,32,1000.0,Group Stage,1,54,yinghua,2023,0,52,TheMax,2173,1,False,False
Paladin Cup 1v1,398,32,1000.0,Group Stage,1,54,yinghua,2023,0,21,Lyx,2126,1,False,False
Paladin Cup 1v1,399,32,1000.0,Group Stage,1,54,yinghua,2023,1,19,Yo,2354,0,False,False
Paladin Cup 1v1,400,32,1000.0,Group Stage,1,54,yinghua,2023,0,20,Paladin,1977,1,False,False
Paladin Cup 1v1,401,32,1000.0,Group Stage,1,54,yinghua,2023,0,14,ACCM,2332,1,False,False
Paladin Cup 1v1,402,32,1000.0,Group Stage,1,54,yinghua,2023,1,27,Nicov,2288,0,False,False
Paladin Cup 1v1,403,32,1000.0,Group Stage,1,19,Yo,2354,1,20,Paladin,1977,0,False,False
Paladin Cup 1v1,404,32,1000.0,Group Stage,1,19,Yo,2354,1,51,Villese,2349,0,False,False
Paladin Cup 1v1,405,32,1000.0,Group Stage,1,19,Yo,2354,1,52,TheMax,2173,0,False,False
Paladin Cup 1v1,406,32,1000.0,Group Stage,1,19,Yo,2354,0,21,Lyx,2126,1,False,False
Paladin Cup 1v1,407,32,1000.0,Group Stage,1,19,Yo,2354,1,54,yinghua,2023,0,False,False
Paladin Cup 1v1,408,32,1000.0,Group Stage,1,19,Yo,2354,1,14,ACCM,2332,0,False,False
Paladin Cup 1v1,410,32,1000.0,Group Stage,1,19,Yo,2354,1,27,Nicov,2288,0,False,False
AoE All-Stars,469,36,3000.0,Group Stage,1,31,TaToH,2369,2,16,BacT,2129,1,False,False
AoE All-Stars,470,36,3000.0,Group Stage,1,27,Nicov,2288,2,32,slam,2146,1,False,False
AoE All-Stars,471,36,3000.0,Group Stage,1,33,Tim,2058,1,1,DauT,2286,2,False,False
AoE All-Stars,472,36,3000.0,Group Stage,1,29,TheViper,2379,3,25,Liereyy,2398,0,False,False
AoE All-Stars,473,36,3000.0,Group Stage,1,27,Nicov,2288,1,31,TaToH,2369,2,False,False
AoE All-Stars,474,36,3000.0,Group Stage,1,33,Tim,2058,0,16,BacT,2129,2,False,False
AoE All-Stars,475,36,3000.0,Group Stage,1,25,Liereyy,2398,1,32,slam,2146,2,False,False
AoE All-Stars,476,36,3000.0,Group Stage,1,29,TheViper,2379,2,1,DauT,2286,1,False,False
AoE All-Stars,477,36,3000.0,Group Stage,1,25,Liereyy,2398,0,31,TaToH,2369,3,False,False
AoE All-Stars,478,36,3000.0,Group Stage,1,1,DauT,2286,2,16,BacT,2129,1,False,False
AoE All-Stars,479,36,3000.0,Group Stage,1,2,miguel,2169,0,27,Nicov,2288,3,False,False
AoE All-Stars,480,36,3000.0,Group Stage,1,29,TheViper,2379,2,32,slam,2146,1,False,False
AoE All-Stars,481,36,3000.0,Group Stage,1,31,TaToH,2369,3,32,slam,2146,0,False,False
AoE All-Stars,482,36,3000.0,Group Stage,1,2,miguel,2169,1,25,Liereyy,2398,2,False,False
AoE All-Stars,483,36,3000.0,Group Stage,1,27,Nicov,2288,1,1,DauT,2286,2,False,False
AoE All-Stars,484,36,3000.0,Group Stage,1,29,TheViper,2379,3,16,BacT,2129,0,False,False
AoE All-Stars,485,36,3000.0,Group Stage,1,2,miguel,2169,0,1,DauT,2286,3,False,False
AoE All-Stars,486,36,3000.0,Group Stage,1,2,miguel,2169,2,32,slam,2146,1,False,False
AoE All-Stars,487,36,3000.0,Group Stage,1,29,TheViper,2379,3,31,TaToH,2369,0,False,False
AoE All-Stars,488,36,3000.0,Group Stage,1,1,DauT,2286,3,25,Liereyy,2398,0,False,False
AoE All-Stars,489,36,3000.0,Group Stage,1,16,BacT,2129,2,25,Liereyy,2398,1,False,False
AoE All-Stars,490,36,3000.0,Group Stage,1,1,DauT,2286,3,32,slam,2146,0,False,False
AoE All-Stars,491,36,3000.0,Group Stage,1,31,TaToH,2369,3,2,miguel,2169,0,False,False
AoE All-Stars,492,36,3000.0,Group Stage,1,29,TheViper,2379,2,27,Nicov,2288,1,False,False
AoE All-Stars,493,36,3000.0,Group Stage,1,27,Nicov,2288,1,25,Liereyy,2398,2,False,False
AoE All-Stars,494,36,3000.0,Group Stage,1,16,BacT,2129,1,32,slam,2146,2,False,False
